School,W,L,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,Opp_FG,Opp_FGA,Opp_3P,Opp_3PA,Opp_FT,Opp_FTA,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA
Abilene Christian,27,7,-1.91,-7.34,14,4,13,2,10,4,2502,2161,1370,897,1911,251,660,457,642,325,1110,525,297,93,407,635,753,1737,191,578,464,643,295,1097,353,191,92,560.0,591.0,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8.0,0.535,15.5,28.8,0.239,67.2,93.8,0.37,0.33299999999999996,0.529,49.7,46.9,8.3,7.4,0.488,21.5,27.3,0.267
Arizona State,23,11,10.28,6.04,12,6,13,3,6,5,2638,2494,1380,899,2012,240,714,600,882,399,1351,459,213,109,466,675,828,2007,292,874,546,774,343,1218,449,221,113,476.0,735.0,72.5,105.4,0.43799999999999994,0.355,0.5429999999999999,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298,72.5,99.6,0.386,0.435,0.525,47.4,54.2,8.8,8.7,0.485,16.7,26.5,0.272
Auburn,30,10,20.84,10.92,11,7,15,2,4,6,3188,2750,1615,1097,2439,454,1204,540,760,457,1369,572,369,190,466,731,940,2153,323,937,547,774,424,1412,491,226,144,683.0,690.0,69.2,114.1,0.312,0.494,0.569,49.2,52.1,13.2,15.6,0.5429999999999999,14.3,31.6,0.221,69.2,98.4,0.359,0.435,0.545,50.8,52.2,8.1,11.7,0.512,21.3,31.7,0.254
Baylor,20,14,13.38,9.26,10,8,13,5,5,6,2442,2302,1365,869,1966,274,803,430,635,446,1280,473,209,159,446,636,795,1870,246,714,466,682,338,1086,442,202,146,421.0,612.0,66.6,107.5,0.32299999999999995,0.408,0.5379999999999999,54.1,54.4,9.2,13.8,0.512,16.4,37.4,0.21899999999999997,66.6,101.3,0.365,0.382,0.525,45.9,55.6,8.9,12.6,0.491,16.1,28.8,0.249
Belmont,27,6,9.12,-2.6,16,2,13,1,12,3,2868,2439,1330,1042,2094,343,922,441,598,286,1275,645,220,125,376,509,895,2110,253,743,396,569,314,1166,402,200,116,403.0,551.0,74.2,116.2,0.28600000000000003,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1,0.21100000000000002,74.2,98.8,0.27,0.35200000000000004,0.512,47.8,44.9,8.1,9.9,0.484,14.5,24.1,0.188
Bradley,20,15,-0.08,-0.9,9,9,10,6,5,8,2329,2285,1405,812,1874,240,653,465,672,313,1195,423,186,131,440,617,779,1892,246,753,481,664,313,1163,415,196,90,433.0,648.0,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8.0,11.5,0.49700000000000005,16.7,26.9,0.248,66.2,98.3,0.35100000000000003,0.39799999999999996,0.518,49.3,53.3,8.4,7.4,0.47700000000000004,16.4,26.2,0.254
Buffalo,32,4,15.56,2.62,16,2,14,0,12,3,3037,2550,1445,1083,2344,344,1022,527,767,452,1470,599,263,140,433,659,916,2180,236,792,482,687,363,1332,372,192,112,553.0,704.0,74.5,112.8,0.327,0.436,0.561,52.5,55.3,9.8,10.1,0.535,13.8,31.8,0.225,74.5,94.7,0.315,0.363,0.509,47.5,40.6,7.1,8.5,0.474,18.1,26.3,0.221
UC-Irvine,31,6,5.7,-2.3,15,1,12,2,13,2,2675,2353,1500,987,2159,252,701,449,640,429,1471,479,210,152,441,673,809,2117,241,715,494,698,379,1211,355,194,103,419.0,627.0,66.2,107.8,0.29600000000000004,0.325,0.5429999999999999,54.8,48.5,8.5,10.8,0.516,15.2,34.0,0.20800000000000002,66.2,94.8,0.33,0.33799999999999997,0.48,45.2,43.9,7.8,7.1,0.439,14.6,26.7,0.233
Central Florida,24,9,13.37,5.58,13,5,15,2,5,5,2385,2128,1325,819,1763,229,628,518,798,315,1215,439,189,150,393,555,764,1938,233,744,367,565,371,1142,409,190,92,400.0,699.0,67.3,107.0,0.45299999999999996,0.35600000000000004,0.557,51.5,53.6,8.5,12.6,0.529,15.5,29.0,0.294,67.3,95.5,0.292,0.384,0.48200000000000004,48.5,53.5,8.5,8.1,0.45399999999999996,15.3,29.2,0.18899999999999997
Cincinnati,28,7,14.53,5.5,14,4,16,2,7,4,2510,2194,1410,872,2018,232,673,534,758,442,1264,466,214,155,365,563,766,1869,284,800,378,570,332,1088,388,133,126,476.0,659.0,65.0,109.5,0.376,0.33299999999999996,0.528,53.7,53.4,9.3,14.5,0.49,13.3,36.9,0.265,65.0,95.7,0.305,0.428,0.513,46.3,50.7,5.8,9.4,0.486,18.2,28.8,0.20199999999999999
