Name 1,Name 2
Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force
Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Alabama State Hornets,Alabama State
Alabama-Birmingham Blazers,Alabama-Birmingham
Albany (NY) Great Danes,Albany (NY)
Alcorn State Braves,Alcorn State
American Eagles,American
Appalachian State Mountaineers,Appalachian State
Arizona State Sun Devils,Arizona State
Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas
Arkansas State Red Wolves,Arkansas State
Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff
Army Black Knights,Army
Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay
Ball State Cardinals,Ball State
Baylor Bears,Baylor
Belmont Bruins,Belmont
Bethune-Cookman Wildcats,Bethune-Cookman
Binghamton Bearcats,Binghamton
Boise State Broncos,Boise State
Boston College Eagles,Boston College
Boston University Terriers,Boston University
Bowling Green State Falcons,Bowling Green State
Bradley Braves,Bradley
Brigham Young Cougars,Brigham Young
Brown Bears,Brown
Bryant Bulldogs,Bryant
Bucknell Bison,Bucknell
Buffalo Bulls,Buffalo
Butler Bulldogs,Butler
Cal Poly Mustangs,Cal Poly
Cal State Bakersfield Roadrunners,Cal State Bakersfield
Cal State Fullerton Titans,Cal State Fullerton
Cal State Northridge Matadors,Cal State Northridge
Campbell Fighting Camels,Campbell
Canisius Golden Griffins,Canisius
Centenary (LA) Gents,Centenary (LA)
Central Arkansas Bears,Central Arkansas
Central Connecticut State Blue Devils,Central Connecticut State
Central Florida Knights,Central Florida
Central Michigan Chippewas,Central Michigan
Charleston Southern Buccaneers,Charleston Southern
Charlotte 49ers,Charlotte
Chattanooga Mocs,Chattanooga
Chicago State Cougars,Chicago State
Cincinnati Bearcats,Cincinnati
Citadel Bulldogs,Citadel
Clemson Tigers,Clemson
Cleveland State Vikings,Cleveland State
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
College of Charleston Cougars,College of Charleston
Colorado Buffaloes,Colorado
Colorado State Rams,Colorado State
Columbia Lions,Columbia
Connecticut Huskies,Connecticut
Coppin State Eagles,Coppin State
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
Dartmouth Big Green,Dartmouth
Davidson Wildcats,Davidson
Dayton Flyers,Dayton
Delaware Fightin' Blue Hens,Delaware
Delaware State Hornets,Delaware State
Denver Pioneers,Denver
DePaul Blue Demons,DePaul
Detroit Mercy Titans,Detroit Mercy
Drake Bulldogs,Drake
Drexel Dragons,Drexel
Duke Blue Devils,Duke
Duquesne Dukes,Duquesne
East Carolina Pirates,East Carolina
East Tennessee State Buccaneers,East Tennessee State
Eastern Illinois Panthers,Eastern Illinois
Eastern Kentucky Colonels,Eastern Kentucky
Eastern Michigan Eagles,Eastern Michigan
Eastern Washington Eagles,Eastern Washington
Elon Phoenix,Elon
Evansville Purple Aces,Evansville
Fairfield Stags,Fairfield
Fairleigh Dickinson Knights,Fairleigh Dickinson
Florida A&M Rattlers,Florida A&M
Florida Atlantic Owls,Florida Atlantic
Florida Gators,Florida
Florida Gulf Coast Eagles,Florida Gulf Coast
Florida International Panthers,Florida International
Florida State Seminoles,Florida State
Fordham Rams,Fordham
Fresno State Bulldogs,Fresno State
Furman Paladins,Furman
Gardner-Webb Runnin' Bulldogs,Gardner-Webb
George Mason Patriots,George Mason
George Washington Colonials,George Washington
Georgetown Hoyas,Georgetown
Georgia Bulldogs,Georgia
Georgia Southern Eagles,Georgia Southern
Georgia State Panthers,Georgia State
Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga Bulldogs,Gonzaga
Grambling Tigers,Grambling
Grand Canyon Antelopes,Grand Canyon
Green Bay Phoenix,Green Bay
Hampton Pirates,Hampton
Hartford Hawks,Hartford
Harvard Crimson,Harvard
Hawaii Rainbow Warriors,Hawaii Rainbow
High Point Panthers,High Point
Hofstra Pride,Hofstra
Holy Cross Crusaders,Holy Cross
Houston Baptist Huskies,Houston Baptist
Houston Cougars,Houston
Howard Bison,Howard
Idaho State Bengals,Idaho State
Idaho Vandals,Idaho
Illinois Fighting Illini,Illinois
Illinois State Redbirds,Illinois State
Illinois-Chicago Flames,Illinois-Chicago
Incarnate Word Cardinals,Incarnate Word
Indiana Hoosiers,Indiana
Indiana State Sycamores,Indiana State
Iona Gaels,Iona
Iowa Hawkeyes,Iowa
Iowa State Cyclones,Iowa State
IUPUI Jaguars,IUPUI
Jackson State Tigers,Jackson State
Jacksonville Dolphins,Jacksonville
Jacksonville State Gamecocks,Jacksonville State
James Madison Dukes,James Madison
Kansas Jayhawks,Kansas
Kansas State Wildcats,Kansas State
Kennesaw State Owls,Kennesaw State
Kent State Golden Flashes,Kent State
Kentucky Wildcats,Kentucky
La Salle Explorers,La Salle
Lafayette Leopards,Lafayette
Lamar Cardinals,Lamar
Lehigh Mountain Hawks,Lehigh
Liberty Flames,Liberty
Lipscomb Bisons,Lipscomb
Little Rock Trojans,Little Rock
Long Beach State 49ers,Long Beach State
Long Island University Blackbirds,Long Island University
Longwood Lancers,Longwood
Louisiana Ragin' Cajuns,Louisiana
Louisiana State Fighting Tigers,Louisiana State
Louisiana Tech Bulldogs,Louisiana Tech
Louisiana-Monroe Warhawks,Louisiana-Monroe
Louisville Cardinals,Louisville
